Title,Price,Link,Image Link,Sold Date
2020 Futera Kylian Mbappe Yoshinori Muto Versus Game Worn Patch /35 France Japan,"1,304,171.23 VND",https://www.ebay.com/itm/365371737451,https://i.ebayimg.com/images/g/DnkAAOSwJuRnnDDL/s-l140.jpg,"Sold  Feb 6, 2025"
2020-21 MOSAIC GREEN PRIZM #45 YOSHINORI MUTO SD EIBAR,"50,898.23 VND",https://www.ebay.com/itm/304541211936,https://i.ebayimg.com/images/g/R-MAAOSwUNpitPoW/s-l140.jpg,"Sold  Feb 1, 2025"
2020 Futera Kylian Mbappe Yoshinori Muto Versus Game Worn Patch /35 France Japan,"1,253,273.00 VND",https://www.ebay.com/itm/365351438024,https://i.ebayimg.com/images/g/TRsAAOSw9bRnjGHq/s-l140.jpg,"Sold  Jan 25, 2025"
Yoshinori Muto 2020-21 Chronicles Select Soccer Gold Power Prizm SSP SD Eibar,"331,222.15 VND",https://www.ebay.com/itm/325078224359,https://i.ebayimg.com/images/g/U5EAAOSwtmliHlBp/s-l140.jpg,"Sold  Jan 19, 2025"
Yoshinori Muto Pink Prizm SSP 2020-21 Panini Mosaic Laliga Soccer /49,"25,321.23 VND",https://www.ebay.com/itm/375905621991,https://i.ebayimg.com/images/g/PwsAAOSwqxJnefvR/s-l140.jpg,"Sold  Jan 16, 2025"
2020 Futera Kylian Mbappe Yoshinori Muto Versus Game Worn Patch /35 France Japan,"1,304,427.00 VND",https://www.ebay.com/itm/365329735605,https://i.ebayimg.com/images/g/9MMAAOSw0oRnfc6U/s-l140.jpg,"Sold  Jan 12, 2025"
Topps Bundesliga 2017/2018 - Sticker 198 - Yoshinori Muto,"27,694.78 VND",https://www.ebay.com/itm/292442639378,https://i.ebayimg.com/images/g/yaAAAOSw36tafR8u/s-l500.jpg,"Sold  Mar 28, 2025"
"2015-16, TOPPS CHROME SOCCER BUNDESLIGA, YOSHINORI MUTO, ORIG PATCH, 075/300","498,505.96 VND",https://www.ebay.com/itm/365297051874,https://i.ebayimg.com/images/g/tT0AAOSwuVJmkn-5/s-l140.jpg,"Sold  Mar 3, 2025"
#213 2019 Panini Prizm Premier League Red Mosaic Yoshinori Muto 096/109,"25,321.23 VND",https://www.ebay.com/itm/405536250396,https://i.ebayimg.com/images/g/lpIAAeSw7HBnqlFu/s-l140.jpg,"Sold  Feb 18, 2025"
2020 Futera Kylian Mbappe Yoshinori Muto Versus Game Worn Patch /35 France Japan,"1,738,980.23 VND",https://www.ebay.com/itm/365395321148,https://i.ebayimg.com/images/g/NdMAAOSwll1nrUTp/s-l140.jpg,"Sold  Feb 17, 2025"
2020 Futera Kylian Mbappe Yoshinori Muto Versus Game Worn Patch /35 France Japan,"1,304,171.23 VND",https://www.ebay.com/itm/365371737451,https://i.ebayimg.com/images/g/DnkAAOSwJuRnnDDL/s-l140.jpg,"Sold  Feb 6, 2025"
2020-21 MOSAIC GREEN PRIZM #45 YOSHINORI MUTO SD EIBAR,"50,898.23 VND",https://www.ebay.com/itm/304541211936,https://i.ebayimg.com/images/g/R-MAAOSwUNpitPoW/s-l140.jpg,"Sold  Feb 1, 2025"
2020 Futera Kylian Mbappe Yoshinori Muto Versus Game Worn Patch /35 France Japan,"1,253,273.00 VND",https://www.ebay.com/itm/365351438024,https://i.ebayimg.com/images/g/TRsAAOSw9bRnjGHq/s-l140.jpg,"Sold  Jan 25, 2025"
Yoshinori Muto 2020-21 Chronicles Select Soccer Gold Power Prizm SSP SD Eibar,"331,222.15 VND",https://www.ebay.com/itm/325078224359,https://i.ebayimg.com/images/g/U5EAAOSwtmliHlBp/s-l140.jpg,"Sold  Jan 19, 2025"
Yoshinori Muto Pink Prizm SSP 2020-21 Panini Mosaic Laliga Soccer /49,"25,321.23 VND",https://www.ebay.com/itm/375905621991,https://i.ebayimg.com/images/g/PwsAAOSwqxJnefvR/s-l140.jpg,"Sold  Jan 16, 2025"
2020 Futera Kylian Mbappe Yoshinori Muto Versus Game Worn Patch /35 France Japan,"1,304,427.00 VND",https://www.ebay.com/itm/365329735605,https://i.ebayimg.com/images/g/9MMAAOSw0oRnfc6U/s-l140.jpg,"Sold  Jan 12, 2025"
Topps Bundesliga 2017/2018 - Sticker 198 - Yoshinori Muto,"27,694.78 VND",https://www.ebay.com/itm/292442639378,https://i.ebayimg.com/images/g/yaAAAOSw36tafR8u/s-l500.jpg,"Sold  Mar 28, 2025"
"2015-16, TOPPS CHROME SOCCER BUNDESLIGA, YOSHINORI MUTO, ORIG PATCH, 075/300","498,505.96 VND",https://www.ebay.com/itm/365297051874,https://i.ebayimg.com/images/g/tT0AAOSwuVJmkn-5/s-l140.jpg,"Sold  Mar 3, 2025"
#213 2019 Panini Prizm Premier League Red Mosaic Yoshinori Muto 096/109,"25,321.23 VND",https://www.ebay.com/itm/405536250396,https://i.ebayimg.com/images/g/lpIAAeSw7HBnqlFu/s-l140.jpg,"Sold  Feb 18, 2025"
2020 Futera Kylian Mbappe Yoshinori Muto Versus Game Worn Patch /35 France Japan,"1,738,980.23 VND",https://www.ebay.com/itm/365395321148,https://i.ebayimg.com/images/g/NdMAAOSwll1nrUTp/s-l140.jpg,"Sold  Feb 17, 2025"
2020 Futera Kylian Mbappe Yoshinori Muto Versus Game Worn Patch /35 France Japan,"1,304,171.23 VND",https://www.ebay.com/itm/365371737451,https://i.ebayimg.com/images/g/DnkAAOSwJuRnnDDL/s-l140.jpg,"Sold  Feb 6, 2025"
2020-21 MOSAIC GREEN PRIZM #45 YOSHINORI MUTO SD EIBAR,"50,898.23 VND",https://www.ebay.com/itm/304541211936,https://i.ebayimg.com/images/g/R-MAAOSwUNpitPoW/s-l140.jpg,"Sold  Feb 1, 2025"
2020 Futera Kylian Mbappe Yoshinori Muto Versus Game Worn Patch /35 France Japan,"1,253,273.00 VND",https://www.ebay.com/itm/365351438024,https://i.ebayimg.com/images/g/TRsAAOSw9bRnjGHq/s-l140.jpg,"Sold  Jan 25, 2025"
Yoshinori Muto 2020-21 Chronicles Select Soccer Gold Power Prizm SSP SD Eibar,"331,222.15 VND",https://www.ebay.com/itm/325078224359,https://i.ebayimg.com/images/g/U5EAAOSwtmliHlBp/s-l140.jpg,"Sold  Jan 19, 2025"
Yoshinori Muto Pink Prizm SSP 2020-21 Panini Mosaic Laliga Soccer /49,"25,321.23 VND",https://www.ebay.com/itm/375905621991,https://i.ebayimg.com/images/g/PwsAAOSwqxJnefvR/s-l140.jpg,"Sold  Jan 16, 2025"
2020 Futera Kylian Mbappe Yoshinori Muto Versus Game Worn Patch /35 France Japan,"1,304,427.00 VND",https://www.ebay.com/itm/365329735605,https://i.ebayimg.com/images/g/9MMAAOSw0oRnfc6U/s-l140.jpg,"Sold  Jan 12, 2025"
Topps Bundesliga 2017/2018 - Sticker 198 - Yoshinori Muto,"27,694.78 VND",https://www.ebay.com/itm/292442639378,https://i.ebayimg.com/images/g/yaAAAOSw36tafR8u/s-l500.jpg,"Sold  Mar 28, 2025"
"2015-16, TOPPS CHROME SOCCER BUNDESLIGA, YOSHINORI MUTO, ORIG PATCH, 075/300","498,505.96 VND",https://www.ebay.com/itm/365297051874,https://i.ebayimg.com/images/g/tT0AAOSwuVJmkn-5/s-l140.jpg,"Sold  Mar 3, 2025"
#213 2019 Panini Prizm Premier League Red Mosaic Yoshinori Muto 096/109,"25,321.23 VND",https://www.ebay.com/itm/405536250396,https://i.ebayimg.com/images/g/lpIAAeSw7HBnqlFu/s-l140.jpg,"Sold  Feb 18, 2025"
2020 Futera Kylian Mbappe Yoshinori Muto Versus Game Worn Patch /35 France Japan,"1,738,980.23 VND",https://www.ebay.com/itm/365395321148,https://i.ebayimg.com/images/g/NdMAAOSwll1nrUTp/s-l140.jpg,"Sold  Feb 17, 2025"
2020 Futera Kylian Mbappe Yoshinori Muto Versus Game Worn Patch /35 France Japan,"1,304,171.23 VND",https://www.ebay.com/itm/365371737451,https://i.ebayimg.com/images/g/DnkAAOSwJuRnnDDL/s-l140.jpg,"Sold  Feb 6, 2025"
2020-21 MOSAIC GREEN PRIZM #45 YOSHINORI MUTO SD EIBAR,"50,898.23 VND",https://www.ebay.com/itm/304541211936,https://i.ebayimg.com/images/g/R-MAAOSwUNpitPoW/s-l140.jpg,"Sold  Feb 1, 2025"
2020 Futera Kylian Mbappe Yoshinori Muto Versus Game Worn Patch /35 France Japan,"1,253,273.00 VND",https://www.ebay.com/itm/365351438024,https://i.ebayimg.com/images/g/TRsAAOSw9bRnjGHq/s-l140.jpg,"Sold  Jan 25, 2025"
Yoshinori Muto 2020-21 Chronicles Select Soccer Gold Power Prizm SSP SD Eibar,"331,222.15 VND",https://www.ebay.com/itm/325078224359,https://i.ebayimg.com/images/g/U5EAAOSwtmliHlBp/s-l140.jpg,"Sold  Jan 19, 2025"
Yoshinori Muto Pink Prizm SSP 2020-21 Panini Mosaic Laliga Soccer /49,"25,321.23 VND",https://www.ebay.com/itm/375905621991,https://i.ebayimg.com/images/g/PwsAAOSwqxJnefvR/s-l140.jpg,"Sold  Jan 16, 2025"
2020 Futera Kylian Mbappe Yoshinori Muto Versus Game Worn Patch /35 France Japan,"1,304,427.00 VND",https://www.ebay.com/itm/365329735605,https://i.ebayimg.com/images/g/9MMAAOSw0oRnfc6U/s-l140.jpg,"Sold  Jan 12, 2025"
Topps Bundesliga 2017/2018 - Sticker 198 - Yoshinori Muto,"27,694.78 VND",https://www.ebay.com/itm/292442639378,https://i.ebayimg.com/images/g/yaAAAOSw36tafR8u/s-l500.jpg,"Sold  Mar 28, 2025"
"2015-16, TOPPS CHROME SOCCER BUNDESLIGA, YOSHINORI MUTO, ORIG PATCH, 075/300","498,505.96 VND",https://www.ebay.com/itm/365297051874,https://i.ebayimg.com/images/g/tT0AAOSwuVJmkn-5/s-l140.jpg,"Sold  Mar 3, 2025"
#213 2019 Panini Prizm Premier League Red Mosaic Yoshinori Muto 096/109,"25,321.23 VND",https://www.ebay.com/itm/405536250396,https://i.ebayimg.com/images/g/lpIAAeSw7HBnqlFu/s-l140.jpg,"Sold  Feb 18, 2025"
2020 Futera Kylian Mbappe Yoshinori Muto Versus Game Worn Patch /35 France Japan,"1,738,980.23 VND",https://www.ebay.com/itm/365395321148,https://i.ebayimg.com/images/g/NdMAAOSwll1nrUTp/s-l140.jpg,"Sold  Feb 17, 2025"
2020 Futera Kylian Mbappe Yoshinori Muto Versus Game Worn Patch /35 France Japan,"1,304,171.23 VND",https://www.ebay.com/itm/365371737451,https://i.ebayimg.com/images/g/DnkAAOSwJuRnnDDL/s-l140.jpg,"Sold  Feb 6, 2025"
2020-21 MOSAIC GREEN PRIZM #45 YOSHINORI MUTO SD EIBAR,"50,898.23 VND",https://www.ebay.com/itm/304541211936,https://i.ebayimg.com/images/g/R-MAAOSwUNpitPoW/s-l140.jpg,"Sold  Feb 1, 2025"
2020 Futera Kylian Mbappe Yoshinori Muto Versus Game Worn Patch /35 France Japan,"1,253,273.00 VND",https://www.ebay.com/itm/365351438024,https://i.ebayimg.com/images/g/TRsAAOSw9bRnjGHq/s-l140.jpg,"Sold  Jan 25, 2025"
Yoshinori Muto 2020-21 Chronicles Select Soccer Gold Power Prizm SSP SD Eibar,"331,222.15 VND",https://www.ebay.com/itm/325078224359,https://i.ebayimg.com/images/g/U5EAAOSwtmliHlBp/s-l140.jpg,"Sold  Jan 19, 2025"
Yoshinori Muto Pink Prizm SSP 2020-21 Panini Mosaic Laliga Soccer /49,"25,321.23 VND",https://www.ebay.com/itm/375905621991,https://i.ebayimg.com/images/g/PwsAAOSwqxJnefvR/s-l140.jpg,"Sold  Jan 16, 2025"
2020 Futera Kylian Mbappe Yoshinori Muto Versus Game Worn Patch /35 France Japan,"1,304,427.00 VND",https://www.ebay.com/itm/365329735605,https://i.ebayimg.com/images/g/9MMAAOSw0oRnfc6U/s-l140.jpg,"Sold  Jan 12, 2025"
Topps Bundesliga 2017/2018 - Sticker 198 - Yoshinori Muto,"27,694.78 VND",https://www.ebay.com/itm/292442639378,https://i.ebayimg.com/images/g/yaAAAOSw36tafR8u/s-l500.jpg,"Sold  Mar 28, 2025"
"2015-16, TOPPS CHROME SOCCER BUNDESLIGA, YOSHINORI MUTO, ORIG PATCH, 075/300","498,505.96 VND",https://www.ebay.com/itm/365297051874,https://i.ebayimg.com/images/g/tT0AAOSwuVJmkn-5/s-l140.jpg,"Sold  Mar 3, 2025"
#213 2019 Panini Prizm Premier League Red Mosaic Yoshinori Muto 096/109,"25,321.23 VND",https://www.ebay.com/itm/405536250396,https://i.ebayimg.com/images/g/lpIAAeSw7HBnqlFu/s-l140.jpg,"Sold  Feb 18, 2025"
2020 Futera Kylian Mbappe Yoshinori Muto Versus Game Worn Patch /35 France Japan,"1,738,980.23 VND",https://www.ebay.com/itm/365395321148,https://i.ebayimg.com/images/g/NdMAAOSwll1nrUTp/s-l140.jpg,"Sold  Feb 17, 2025"
2020 Futera Kylian Mbappe Yoshinori Muto Versus Game Worn Patch /35 France Japan,"1,304,171.23 VND",https://www.ebay.com/itm/365371737451,https://i.ebayimg.com/images/g/DnkAAOSwJuRnnDDL/s-l140.jpg,"Sold  Feb 6, 2025"
2020-21 MOSAIC GREEN PRIZM #45 YOSHINORI MUTO SD EIBAR,"50,898.23 VND",https://www.ebay.com/itm/304541211936,https://i.ebayimg.com/images/g/R-MAAOSwUNpitPoW/s-l140.jpg,"Sold  Feb 1, 2025"
2020 Futera Kylian Mbappe Yoshinori Muto Versus Game Worn Patch /35 France Japan,"1,253,273.00 VND",https://www.ebay.com/itm/365351438024,https://i.ebayimg.com/images/g/TRsAAOSw9bRnjGHq/s-l140.jpg,"Sold  Jan 25, 2025"
Yoshinori Muto 2020-21 Chronicles Select Soccer Gold Power Prizm SSP SD Eibar,"331,222.15 VND",https://www.ebay.com/itm/325078224359,https://i.ebayimg.com/images/g/U5EAAOSwtmliHlBp/s-l140.jpg,"Sold  Jan 19, 2025"
Yoshinori Muto Pink Prizm SSP 2020-21 Panini Mosaic Laliga Soccer /49,"25,321.23 VND",https://www.ebay.com/itm/375905621991,https://i.ebayimg.com/images/g/PwsAAOSwqxJnefvR/s-l140.jpg,"Sold  Jan 16, 2025"
2020 Futera Kylian Mbappe Yoshinori Muto Versus Game Worn Patch /35 France Japan,"1,304,427.00 VND",https://www.ebay.com/itm/365329735605,https://i.ebayimg.com/images/g/9MMAAOSw0oRnfc6U/s-l140.jpg,"Sold  Jan 12, 2025"
Topps Bundesliga 2017/2018 - Sticker 198 - Yoshinori Muto,"27,694.78 VND",https://www.ebay.com/itm/292442639378,https://i.ebayimg.com/images/g/yaAAAOSw36tafR8u/s-l500.jpg,"Sold  Mar 28, 2025"
"2015-16, TOPPS CHROME SOCCER BUNDESLIGA, YOSHINORI MUTO, ORIG PATCH, 075/300","498,505.96 VND",https://www.ebay.com/itm/365297051874,https://i.ebayimg.com/images/g/tT0AAOSwuVJmkn-5/s-l140.jpg,"Sold  Mar 3, 2025"
#213 2019 Panini Prizm Premier League Red Mosaic Yoshinori Muto 096/109,"25,321.23 VND",https://www.ebay.com/itm/405536250396,https://i.ebayimg.com/images/g/lpIAAeSw7HBnqlFu/s-l140.jpg,"Sold  Feb 18, 2025"
2020 Futera Kylian Mbappe Yoshinori Muto Versus Game Worn Patch /35 France Japan,"1,738,980.23 VND",https://www.ebay.com/itm/365395321148,https://i.ebayimg.com/images/g/NdMAAOSwll1nrUTp/s-l140.jpg,"Sold  Feb 17, 2025"
2020 Futera Kylian Mbappe Yoshinori Muto Versus Game Worn Patch /35 France Japan,"1,304,171.23 VND",https://www.ebay.com/itm/365371737451,https://i.ebayimg.com/images/g/DnkAAOSwJuRnnDDL/s-l140.jpg,"Sold  Feb 6, 2025"
2020-21 MOSAIC GREEN PRIZM #45 YOSHINORI MUTO SD EIBAR,"50,898.23 VND",https://www.ebay.com/itm/304541211936,https://i.ebayimg.com/images/g/R-MAAOSwUNpitPoW/s-l140.jpg,"Sold  Feb 1, 2025"
2020 Futera Kylian Mbappe Yoshinori Muto Versus Game Worn Patch /35 France Japan,"1,253,273.00 VND",https://www.ebay.com/itm/365351438024,https://i.ebayimg.com/images/g/TRsAAOSw9bRnjGHq/s-l140.jpg,"Sold  Jan 25, 2025"
Yoshinori Muto 2020-21 Chronicles Select Soccer Gold Power Prizm SSP SD Eibar,"331,222.15 VND",https://www.ebay.com/itm/325078224359,https://i.ebayimg.com/images/g/U5EAAOSwtmliHlBp/s-l140.jpg,"Sold  Jan 19, 2025"
Yoshinori Muto Pink Prizm SSP 2020-21 Panini Mosaic Laliga Soccer /49,"25,321.23 VND",https://www.ebay.com/itm/375905621991,https://i.ebayimg.com/images/g/PwsAAOSwqxJnefvR/s-l140.jpg,"Sold  Jan 16, 2025"
2020 Futera Kylian Mbappe Yoshinori Muto Versus Game Worn Patch /35 France Japan,"1,304,427.00 VND",https://www.ebay.com/itm/365329735605,https://i.ebayimg.com/images/g/9MMAAOSw0oRnfc6U/s-l140.jpg,"Sold  Jan 12, 2025"
Topps Bundesliga 2017/2018 - Sticker 198 - Yoshinori Muto,"27,694.78 VND",https://www.ebay.com/itm/292442639378,https://i.ebayimg.com/images/g/yaAAAOSw36tafR8u/s-l500.jpg,"Sold  Mar 28, 2025"
"2015-16, TOPPS CHROME SOCCER BUNDESLIGA, YOSHINORI MUTO, ORIG PATCH, 075/300","498,505.96 VND",https://www.ebay.com/itm/365297051874,https://i.ebayimg.com/images/g/tT0AAOSwuVJmkn-5/s-l140.jpg,"Sold  Mar 3, 2025"
#213 2019 Panini Prizm Premier League Red Mosaic Yoshinori Muto 096/109,"25,321.23 VND",https://www.ebay.com/itm/405536250396,https://i.ebayimg.com/images/g/lpIAAeSw7HBnqlFu/s-l140.jpg,"Sold  Feb 18, 2025"
2020 Futera Kylian Mbappe Yoshinori Muto Versus Game Worn Patch /35 France Japan,"1,738,980.23 VND",https://www.ebay.com/itm/365395321148,https://i.ebayimg.com/images/g/NdMAAOSwll1nrUTp/s-l140.jpg,"Sold  Feb 17, 2025"
2020 Futera Kylian Mbappe Yoshinori Muto Versus Game Worn Patch /35 France Japan,"1,304,171.23 VND",https://www.ebay.com/itm/365371737451,https://i.ebayimg.com/images/g/DnkAAOSwJuRnnDDL/s-l140.jpg,"Sold  Feb 6, 2025"
2020-21 MOSAIC GREEN PRIZM #45 YOSHINORI MUTO SD EIBAR,"50,898.23 VND",https://www.ebay.com/itm/304541211936,https://i.ebayimg.com/images/g/R-MAAOSwUNpitPoW/s-l140.jpg,"Sold  Feb 1, 2025"
2020 Futera Kylian Mbappe Yoshinori Muto Versus Game Worn Patch /35 France Japan,"1,253,273.00 VND",https://www.ebay.com/itm/365351438024,https://i.ebayimg.com/images/g/TRsAAOSw9bRnjGHq/s-l140.jpg,"Sold  Jan 25, 2025"
Yoshinori Muto 2020-21 Chronicles Select Soccer Gold Power Prizm SSP SD Eibar,"331,222.15 VND",https://www.ebay.com/itm/325078224359,https://i.ebayimg.com/images/g/U5EAAOSwtmliHlBp/s-l140.jpg,"Sold  Jan 19, 2025"
Yoshinori Muto Pink Prizm SSP 2020-21 Panini Mosaic Laliga Soccer /49,"25,321.23 VND",https://www.ebay.com/itm/375905621991,https://i.ebayimg.com/images/g/PwsAAOSwqxJnefvR/s-l140.jpg,"Sold  Jan 16, 2025"
2020 Futera Kylian Mbappe Yoshinori Muto Versus Game Worn Patch /35 France Japan,"1,304,427.00 VND",https://www.ebay.com/itm/365329735605,https://i.ebayimg.com/images/g/9MMAAOSw0oRnfc6U/s-l140.jpg,"Sold  Jan 12, 2025"
