Title,Price,Link,Image Link,Sold Date
Signed Cheikhou Kouyate Official Crystal Palace Card,"148,934.87 VND",https://www.ebay.com/itm/167385579476,https://i.ebayimg.com/images/g/MP4AAOSweHxn2USO/s-l140.jpg,"Sold  Mar 20, 2025"
PANINI PREMIER LEAGUE PRIZM 20/21 CHEIKHOU KOUYATE CRYSTAL PALACE PARALLEL 4/5.,"221,747.47 VND",https://www.ebay.com/itm/156765049600,https://i.ebayimg.com/images/g/6L8AAOSwCxtnyKY-/s-l140.jpg,"Sold  Mar 15, 2025"
2019-20 Panini Prizm Premier League Red Mosaic Prizm /109 Cheikhou Kouyate #222,"54,990.55 VND to 160,879.33 VND",https://www.ebay.com/itm/335753358653,https://i.ebayimg.com/images/g/VJMAAeSwyHxnpESY/s-l140.jpg,"Sold  Mar 1, 2025"
2019-20 Prizm Premier League Cheikhou Kouyate White Sparkle Prizm /15 #222 SSP,"153,206.23 VND",https://www.ebay.com/itm/176648608340,https://i.ebayimg.com/images/g/X1QAAOSwBYRnHVTf/s-l140.jpg,"Sold  Feb 20, 2025"
WEST HAM: CHEIKHOU KOUYATE SIGNED 6x4 ACTION PHOTO+COA,"132,055.59 VND",https://www.ebay.com/itm/293018222544,https://i.ebayimg.com/images/g/9XYAAOSwhRxXKeTl/s-l140.jpg,"Sold  Feb 5, 2025"
2016 Futera Unique Autograph Elite Cheikhou Kouyate #/30,"306,924.00 VND",https://www.ebay.com/itm/374913310089,https://i.ebayimg.com/images/g/DpsAAOSwyp5eipRU/s-l140.jpg,"Sold  Feb 3, 2025"
Signed Cheikhou Kouyate Official Crystal Palace Card,"148,934.87 VND",https://www.ebay.com/itm/167385579476,https://i.ebayimg.com/images/g/MP4AAOSweHxn2USO/s-l140.jpg,"Sold  Mar 20, 2025"
PANINI PREMIER LEAGUE PRIZM 20/21 CHEIKHOU KOUYATE CRYSTAL PALACE PARALLEL 4/5.,"221,747.47 VND",https://www.ebay.com/itm/156765049600,https://i.ebayimg.com/images/g/6L8AAOSwCxtnyKY-/s-l140.jpg,"Sold  Mar 15, 2025"
2019-20 Panini Prizm Premier League Red Mosaic Prizm /109 Cheikhou Kouyate #222,"54,990.55 VND to 160,879.33 VND",https://www.ebay.com/itm/335753358653,https://i.ebayimg.com/images/g/VJMAAeSwyHxnpESY/s-l140.jpg,"Sold  Mar 1, 2025"
2019-20 Prizm Premier League Cheikhou Kouyate White Sparkle Prizm /15 #222 SSP,"153,206.23 VND",https://www.ebay.com/itm/176648608340,https://i.ebayimg.com/images/g/X1QAAOSwBYRnHVTf/s-l140.jpg,"Sold  Feb 20, 2025"
WEST HAM: CHEIKHOU KOUYATE SIGNED 6x4 ACTION PHOTO+COA,"132,055.59 VND",https://www.ebay.com/itm/293018222544,https://i.ebayimg.com/images/g/9XYAAOSwhRxXKeTl/s-l140.jpg,"Sold  Feb 5, 2025"
2016 Futera Unique Autograph Elite Cheikhou Kouyate #/30,"306,924.00 VND",https://www.ebay.com/itm/374913310089,https://i.ebayimg.com/images/g/DpsAAOSwyp5eipRU/s-l140.jpg,"Sold  Feb 3, 2025"
Signed Cheikhou Kouyate Official Crystal Palace Card,"148,934.87 VND",https://www.ebay.com/itm/167385579476,https://i.ebayimg.com/images/g/MP4AAOSweHxn2USO/s-l140.jpg,"Sold  Mar 20, 2025"
PANINI PREMIER LEAGUE PRIZM 20/21 CHEIKHOU KOUYATE CRYSTAL PALACE PARALLEL 4/5.,"221,747.47 VND",https://www.ebay.com/itm/156765049600,https://i.ebayimg.com/images/g/6L8AAOSwCxtnyKY-/s-l140.jpg,"Sold  Mar 15, 2025"
2019-20 Panini Prizm Premier League Red Mosaic Prizm /109 Cheikhou Kouyate #222,"54,990.55 VND to 160,879.33 VND",https://www.ebay.com/itm/335753358653,https://i.ebayimg.com/images/g/VJMAAeSwyHxnpESY/s-l140.jpg,"Sold  Mar 1, 2025"
2019-20 Prizm Premier League Cheikhou Kouyate White Sparkle Prizm /15 #222 SSP,"153,206.23 VND",https://www.ebay.com/itm/176648608340,https://i.ebayimg.com/images/g/X1QAAOSwBYRnHVTf/s-l140.jpg,"Sold  Feb 20, 2025"
WEST HAM: CHEIKHOU KOUYATE SIGNED 6x4 ACTION PHOTO+COA,"132,055.59 VND",https://www.ebay.com/itm/293018222544,https://i.ebayimg.com/images/g/9XYAAOSwhRxXKeTl/s-l140.jpg,"Sold  Feb 5, 2025"
2016 Futera Unique Autograph Elite Cheikhou Kouyate #/30,"306,924.00 VND",https://www.ebay.com/itm/374913310089,https://i.ebayimg.com/images/g/DpsAAOSwyp5eipRU/s-l140.jpg,"Sold  Feb 3, 2025"
Signed Cheikhou Kouyate Official Crystal Palace Card,"148,934.87 VND",https://www.ebay.com/itm/167385579476,https://i.ebayimg.com/images/g/MP4AAOSweHxn2USO/s-l140.jpg,"Sold  Mar 20, 2025"
PANINI PREMIER LEAGUE PRIZM 20/21 CHEIKHOU KOUYATE CRYSTAL PALACE PARALLEL 4/5.,"221,747.47 VND",https://www.ebay.com/itm/156765049600,https://i.ebayimg.com/images/g/6L8AAOSwCxtnyKY-/s-l140.jpg,"Sold  Mar 15, 2025"
2019-20 Panini Prizm Premier League Red Mosaic Prizm /109 Cheikhou Kouyate #222,"54,990.55 VND to 160,879.33 VND",https://www.ebay.com/itm/335753358653,https://i.ebayimg.com/images/g/VJMAAeSwyHxnpESY/s-l140.jpg,"Sold  Mar 1, 2025"
2019-20 Prizm Premier League Cheikhou Kouyate White Sparkle Prizm /15 #222 SSP,"153,206.23 VND",https://www.ebay.com/itm/176648608340,https://i.ebayimg.com/images/g/X1QAAOSwBYRnHVTf/s-l140.jpg,"Sold  Feb 20, 2025"
WEST HAM: CHEIKHOU KOUYATE SIGNED 6x4 ACTION PHOTO+COA,"132,055.59 VND",https://www.ebay.com/itm/293018222544,https://i.ebayimg.com/images/g/9XYAAOSwhRxXKeTl/s-l140.jpg,"Sold  Feb 5, 2025"
2016 Futera Unique Autograph Elite Cheikhou Kouyate #/30,"306,924.00 VND",https://www.ebay.com/itm/374913310089,https://i.ebayimg.com/images/g/DpsAAOSwyp5eipRU/s-l140.jpg,"Sold  Feb 3, 2025"
Signed Cheikhou Kouyate Official Crystal Palace Card,"148,934.87 VND",https://www.ebay.com/itm/167385579476,https://i.ebayimg.com/images/g/MP4AAOSweHxn2USO/s-l140.jpg,"Sold  Mar 20, 2025"
PANINI PREMIER LEAGUE PRIZM 20/21 CHEIKHOU KOUYATE CRYSTAL PALACE PARALLEL 4/5.,"221,747.47 VND",https://www.ebay.com/itm/156765049600,https://i.ebayimg.com/images/g/6L8AAOSwCxtnyKY-/s-l140.jpg,"Sold  Mar 15, 2025"
2019-20 Panini Prizm Premier League Red Mosaic Prizm /109 Cheikhou Kouyate #222,"54,990.55 VND to 160,879.33 VND",https://www.ebay.com/itm/335753358653,https://i.ebayimg.com/images/g/VJMAAeSwyHxnpESY/s-l140.jpg,"Sold  Mar 1, 2025"
2019-20 Prizm Premier League Cheikhou Kouyate White Sparkle Prizm /15 #222 SSP,"153,206.23 VND",https://www.ebay.com/itm/176648608340,https://i.ebayimg.com/images/g/X1QAAOSwBYRnHVTf/s-l140.jpg,"Sold  Feb 20, 2025"
WEST HAM: CHEIKHOU KOUYATE SIGNED 6x4 ACTION PHOTO+COA,"132,055.59 VND",https://www.ebay.com/itm/293018222544,https://i.ebayimg.com/images/g/9XYAAOSwhRxXKeTl/s-l140.jpg,"Sold  Feb 5, 2025"
2016 Futera Unique Autograph Elite Cheikhou Kouyate #/30,"306,924.00 VND",https://www.ebay.com/itm/374913310089,https://i.ebayimg.com/images/g/DpsAAOSwyp5eipRU/s-l140.jpg,"Sold  Feb 3, 2025"
Signed Cheikhou Kouyate Official Crystal Palace Card,"148,934.87 VND",https://www.ebay.com/itm/167385579476,https://i.ebayimg.com/images/g/MP4AAOSweHxn2USO/s-l140.jpg,"Sold  Mar 20, 2025"
PANINI PREMIER LEAGUE PRIZM 20/21 CHEIKHOU KOUYATE CRYSTAL PALACE PARALLEL 4/5.,"221,747.47 VND",https://www.ebay.com/itm/156765049600,https://i.ebayimg.com/images/g/6L8AAOSwCxtnyKY-/s-l140.jpg,"Sold  Mar 15, 2025"
2019-20 Panini Prizm Premier League Red Mosaic Prizm /109 Cheikhou Kouyate #222,"54,990.55 VND to 160,879.33 VND",https://www.ebay.com/itm/335753358653,https://i.ebayimg.com/images/g/VJMAAeSwyHxnpESY/s-l140.jpg,"Sold  Mar 1, 2025"
2019-20 Prizm Premier League Cheikhou Kouyate White Sparkle Prizm /15 #222 SSP,"153,206.23 VND",https://www.ebay.com/itm/176648608340,https://i.ebayimg.com/images/g/X1QAAOSwBYRnHVTf/s-l140.jpg,"Sold  Feb 20, 2025"
WEST HAM: CHEIKHOU KOUYATE SIGNED 6x4 ACTION PHOTO+COA,"132,055.59 VND",https://www.ebay.com/itm/293018222544,https://i.ebayimg.com/images/g/9XYAAOSwhRxXKeTl/s-l140.jpg,"Sold  Feb 5, 2025"
2016 Futera Unique Autograph Elite Cheikhou Kouyate #/30,"306,924.00 VND",https://www.ebay.com/itm/374913310089,https://i.ebayimg.com/images/g/DpsAAOSwyp5eipRU/s-l140.jpg,"Sold  Feb 3, 2025"
Signed Cheikhou Kouyate Official Crystal Palace Card,"148,934.87 VND",https://www.ebay.com/itm/167385579476,https://i.ebayimg.com/images/g/MP4AAOSweHxn2USO/s-l140.jpg,"Sold  Mar 20, 2025"
PANINI PREMIER LEAGUE PRIZM 20/21 CHEIKHOU KOUYATE CRYSTAL PALACE PARALLEL 4/5.,"221,747.47 VND",https://www.ebay.com/itm/156765049600,https://i.ebayimg.com/images/g/6L8AAOSwCxtnyKY-/s-l140.jpg,"Sold  Mar 15, 2025"
2019-20 Panini Prizm Premier League Red Mosaic Prizm /109 Cheikhou Kouyate #222,"54,990.55 VND to 160,879.33 VND",https://www.ebay.com/itm/335753358653,https://i.ebayimg.com/images/g/VJMAAeSwyHxnpESY/s-l140.jpg,"Sold  Mar 1, 2025"
2019-20 Prizm Premier League Cheikhou Kouyate White Sparkle Prizm /15 #222 SSP,"153,206.23 VND",https://www.ebay.com/itm/176648608340,https://i.ebayimg.com/images/g/X1QAAOSwBYRnHVTf/s-l140.jpg,"Sold  Feb 20, 2025"
WEST HAM: CHEIKHOU KOUYATE SIGNED 6x4 ACTION PHOTO+COA,"132,055.59 VND",https://www.ebay.com/itm/293018222544,https://i.ebayimg.com/images/g/9XYAAOSwhRxXKeTl/s-l140.jpg,"Sold  Feb 5, 2025"
2016 Futera Unique Autograph Elite Cheikhou Kouyate #/30,"306,924.00 VND",https://www.ebay.com/itm/374913310089,https://i.ebayimg.com/images/g/DpsAAOSwyp5eipRU/s-l140.jpg,"Sold  Feb 3, 2025"
Signed Cheikhou Kouyate Official Crystal Palace Card,"148,934.87 VND",https://www.ebay.com/itm/167385579476,https://i.ebayimg.com/images/g/MP4AAOSweHxn2USO/s-l140.jpg,"Sold  Mar 20, 2025"
PANINI PREMIER LEAGUE PRIZM 20/21 CHEIKHOU KOUYATE CRYSTAL PALACE PARALLEL 4/5.,"221,747.47 VND",https://www.ebay.com/itm/156765049600,https://i.ebayimg.com/images/g/6L8AAOSwCxtnyKY-/s-l140.jpg,"Sold  Mar 15, 2025"
2019-20 Panini Prizm Premier League Red Mosaic Prizm /109 Cheikhou Kouyate #222,"54,990.55 VND to 160,879.33 VND",https://www.ebay.com/itm/335753358653,https://i.ebayimg.com/images/g/VJMAAeSwyHxnpESY/s-l140.jpg,"Sold  Mar 1, 2025"
2019-20 Prizm Premier League Cheikhou Kouyate White Sparkle Prizm /15 #222 SSP,"153,206.23 VND",https://www.ebay.com/itm/176648608340,https://i.ebayimg.com/images/g/X1QAAOSwBYRnHVTf/s-l140.jpg,"Sold  Feb 20, 2025"
WEST HAM: CHEIKHOU KOUYATE SIGNED 6x4 ACTION PHOTO+COA,"132,055.59 VND",https://www.ebay.com/itm/293018222544,https://i.ebayimg.com/images/g/9XYAAOSwhRxXKeTl/s-l140.jpg,"Sold  Feb 5, 2025"
2016 Futera Unique Autograph Elite Cheikhou Kouyate #/30,"306,924.00 VND",https://www.ebay.com/itm/374913310089,https://i.ebayimg.com/images/g/DpsAAOSwyp5eipRU/s-l140.jpg,"Sold  Feb 3, 2025"
Signed Cheikhou Kouyate Official Crystal Palace Card,"148,934.87 VND",https://www.ebay.com/itm/167385579476,https://i.ebayimg.com/images/g/MP4AAOSweHxn2USO/s-l140.jpg,"Sold  Mar 20, 2025"
PANINI PREMIER LEAGUE PRIZM 20/21 CHEIKHOU KOUYATE CRYSTAL PALACE PARALLEL 4/5.,"221,747.47 VND",https://www.ebay.com/itm/156765049600,https://i.ebayimg.com/images/g/6L8AAOSwCxtnyKY-/s-l140.jpg,"Sold  Mar 15, 2025"
2019-20 Panini Prizm Premier League Red Mosaic Prizm /109 Cheikhou Kouyate #222,"54,990.55 VND to 160,879.33 VND",https://www.ebay.com/itm/335753358653,https://i.ebayimg.com/images/g/VJMAAeSwyHxnpESY/s-l140.jpg,"Sold  Mar 1, 2025"
2019-20 Prizm Premier League Cheikhou Kouyate White Sparkle Prizm /15 #222 SSP,"153,206.23 VND",https://www.ebay.com/itm/176648608340,https://i.ebayimg.com/images/g/X1QAAOSwBYRnHVTf/s-l140.jpg,"Sold  Feb 20, 2025"
WEST HAM: CHEIKHOU KOUYATE SIGNED 6x4 ACTION PHOTO+COA,"132,055.59 VND",https://www.ebay.com/itm/293018222544,https://i.ebayimg.com/images/g/9XYAAOSwhRxXKeTl/s-l140.jpg,"Sold  Feb 5, 2025"
2016 Futera Unique Autograph Elite Cheikhou Kouyate #/30,"306,924.00 VND",https://www.ebay.com/itm/374913310089,https://i.ebayimg.com/images/g/DpsAAOSwyp5eipRU/s-l140.jpg,"Sold  Feb 3, 2025"
Signed Cheikhou Kouyate Official Crystal Palace Card,"148,934.87 VND",https://www.ebay.com/itm/167385579476,https://i.ebayimg.com/images/g/MP4AAOSweHxn2USO/s-l140.jpg,"Sold  Mar 20, 2025"
PANINI PREMIER LEAGUE PRIZM 20/21 CHEIKHOU KOUYATE CRYSTAL PALACE PARALLEL 4/5.,"221,747.47 VND",https://www.ebay.com/itm/156765049600,https://i.ebayimg.com/images/g/6L8AAOSwCxtnyKY-/s-l140.jpg,"Sold  Mar 15, 2025"
2019-20 Panini Prizm Premier League Red Mosaic Prizm /109 Cheikhou Kouyate #222,"54,990.55 VND to 160,879.33 VND",https://www.ebay.com/itm/335753358653,https://i.ebayimg.com/images/g/VJMAAeSwyHxnpESY/s-l140.jpg,"Sold  Mar 1, 2025"
2019-20 Prizm Premier League Cheikhou Kouyate White Sparkle Prizm /15 #222 SSP,"153,206.23 VND",https://www.ebay.com/itm/176648608340,https://i.ebayimg.com/images/g/X1QAAOSwBYRnHVTf/s-l140.jpg,"Sold  Feb 20, 2025"
WEST HAM: CHEIKHOU KOUYATE SIGNED 6x4 ACTION PHOTO+COA,"132,055.59 VND",https://www.ebay.com/itm/293018222544,https://i.ebayimg.com/images/g/9XYAAOSwhRxXKeTl/s-l140.jpg,"Sold  Feb 5, 2025"
2016 Futera Unique Autograph Elite Cheikhou Kouyate #/30,"306,924.00 VND",https://www.ebay.com/itm/374913310089,https://i.ebayimg.com/images/g/DpsAAOSwyp5eipRU/s-l140.jpg,"Sold  Feb 3, 2025"
Signed Cheikhou Kouyate Official Crystal Palace Card,"148,934.87 VND",https://www.ebay.com/itm/167385579476,https://i.ebayimg.com/images/g/MP4AAOSweHxn2USO/s-l140.jpg,"Sold  Mar 20, 2025"
PANINI PREMIER LEAGUE PRIZM 20/21 CHEIKHOU KOUYATE CRYSTAL PALACE PARALLEL 4/5.,"221,747.47 VND",https://www.ebay.com/itm/156765049600,https://i.ebayimg.com/images/g/6L8AAOSwCxtnyKY-/s-l140.jpg,"Sold  Mar 15, 2025"
2019-20 Panini Prizm Premier League Red Mosaic Prizm /109 Cheikhou Kouyate #222,"54,990.55 VND to 160,879.33 VND",https://www.ebay.com/itm/335753358653,https://i.ebayimg.com/images/g/VJMAAeSwyHxnpESY/s-l140.jpg,"Sold  Mar 1, 2025"
2019-20 Prizm Premier League Cheikhou Kouyate White Sparkle Prizm /15 #222 SSP,"153,206.23 VND",https://www.ebay.com/itm/176648608340,https://i.ebayimg.com/images/g/X1QAAOSwBYRnHVTf/s-l140.jpg,"Sold  Feb 20, 2025"
WEST HAM: CHEIKHOU KOUYATE SIGNED 6x4 ACTION PHOTO+COA,"132,055.59 VND",https://www.ebay.com/itm/293018222544,https://i.ebayimg.com/images/g/9XYAAOSwhRxXKeTl/s-l140.jpg,"Sold  Feb 5, 2025"
2016 Futera Unique Autograph Elite Cheikhou Kouyate #/30,"306,924.00 VND",https://www.ebay.com/itm/374913310089,https://i.ebayimg.com/images/g/DpsAAOSwyp5eipRU/s-l140.jpg,"Sold  Feb 3, 2025"
Signed Cheikhou Kouyate Official Crystal Palace Card,"148,934.87 VND",https://www.ebay.com/itm/167385579476,https://i.ebayimg.com/images/g/MP4AAOSweHxn2USO/s-l140.jpg,"Sold  Mar 20, 2025"
PANINI PREMIER LEAGUE PRIZM 20/21 CHEIKHOU KOUYATE CRYSTAL PALACE PARALLEL 4/5.,"221,747.47 VND",https://www.ebay.com/itm/156765049600,https://i.ebayimg.com/images/g/6L8AAOSwCxtnyKY-/s-l140.jpg,"Sold  Mar 15, 2025"
2019-20 Panini Prizm Premier League Red Mosaic Prizm /109 Cheikhou Kouyate #222,"54,990.55 VND to 160,879.33 VND",https://www.ebay.com/itm/335753358653,https://i.ebayimg.com/images/g/VJMAAeSwyHxnpESY/s-l140.jpg,"Sold  Mar 1, 2025"
2019-20 Prizm Premier League Cheikhou Kouyate White Sparkle Prizm /15 #222 SSP,"153,206.23 VND",https://www.ebay.com/itm/176648608340,https://i.ebayimg.com/images/g/X1QAAOSwBYRnHVTf/s-l140.jpg,"Sold  Feb 20, 2025"
WEST HAM: CHEIKHOU KOUYATE SIGNED 6x4 ACTION PHOTO+COA,"132,055.59 VND",https://www.ebay.com/itm/293018222544,https://i.ebayimg.com/images/g/9XYAAOSwhRxXKeTl/s-l140.jpg,"Sold  Feb 5, 2025"
2016 Futera Unique Autograph Elite Cheikhou Kouyate #/30,"306,924.00 VND",https://www.ebay.com/itm/374913310089,https://i.ebayimg.com/images/g/DpsAAOSwyp5eipRU/s-l140.jpg,"Sold  Feb 3, 2025"
Signed Cheikhou Kouyate Official Crystal Palace Card,"148,934.87 VND",https://www.ebay.com/itm/167385579476,https://i.ebayimg.com/images/g/MP4AAOSweHxn2USO/s-l140.jpg,"Sold  Mar 20, 2025"
PANINI PREMIER LEAGUE PRIZM 20/21 CHEIKHOU KOUYATE CRYSTAL PALACE PARALLEL 4/5.,"221,747.47 VND",https://www.ebay.com/itm/156765049600,https://i.ebayimg.com/images/g/6L8AAOSwCxtnyKY-/s-l140.jpg,"Sold  Mar 15, 2025"
2019-20 Panini Prizm Premier League Red Mosaic Prizm /109 Cheikhou Kouyate #222,"54,990.55 VND to 160,879.33 VND",https://www.ebay.com/itm/335753358653,https://i.ebayimg.com/images/g/VJMAAeSwyHxnpESY/s-l140.jpg,"Sold  Mar 1, 2025"
2019-20 Prizm Premier League Cheikhou Kouyate White Sparkle Prizm /15 #222 SSP,"153,206.23 VND",https://www.ebay.com/itm/176648608340,https://i.ebayimg.com/images/g/X1QAAOSwBYRnHVTf/s-l140.jpg,"Sold  Feb 20, 2025"
WEST HAM: CHEIKHOU KOUYATE SIGNED 6x4 ACTION PHOTO+COA,"132,055.59 VND",https://www.ebay.com/itm/293018222544,https://i.ebayimg.com/images/g/9XYAAOSwhRxXKeTl/s-l140.jpg,"Sold  Feb 5, 2025"
2016 Futera Unique Autograph Elite Cheikhou Kouyate #/30,"306,924.00 VND",https://www.ebay.com/itm/374913310089,https://i.ebayimg.com/images/g/DpsAAOSwyp5eipRU/s-l140.jpg,"Sold  Feb 3, 2025"
Signed Cheikhou Kouyate Official Crystal Palace Card,"148,934.87 VND",https://www.ebay.com/itm/167385579476,https://i.ebayimg.com/images/g/MP4AAOSweHxn2USO/s-l140.jpg,"Sold  Mar 20, 2025"
PANINI PREMIER LEAGUE PRIZM 20/21 CHEIKHOU KOUYATE CRYSTAL PALACE PARALLEL 4/5.,"221,747.47 VND",https://www.ebay.com/itm/156765049600,https://i.ebayimg.com/images/g/6L8AAOSwCxtnyKY-/s-l140.jpg,"Sold  Mar 15, 2025"
2019-20 Panini Prizm Premier League Red Mosaic Prizm /109 Cheikhou Kouyate #222,"54,990.55 VND to 160,879.33 VND",https://www.ebay.com/itm/335753358653,https://i.ebayimg.com/images/g/VJMAAeSwyHxnpESY/s-l140.jpg,"Sold  Mar 1, 2025"
2019-20 Prizm Premier League Cheikhou Kouyate White Sparkle Prizm /15 #222 SSP,"153,206.23 VND",https://www.ebay.com/itm/176648608340,https://i.ebayimg.com/images/g/X1QAAOSwBYRnHVTf/s-l140.jpg,"Sold  Feb 20, 2025"
WEST HAM: CHEIKHOU KOUYATE SIGNED 6x4 ACTION PHOTO+COA,"132,055.59 VND",https://www.ebay.com/itm/293018222544,https://i.ebayimg.com/images/g/9XYAAOSwhRxXKeTl/s-l140.jpg,"Sold  Feb 5, 2025"
2016 Futera Unique Autograph Elite Cheikhou Kouyate #/30,"306,924.00 VND",https://www.ebay.com/itm/374913310089,https://i.ebayimg.com/images/g/DpsAAOSwyp5eipRU/s-l140.jpg,"Sold  Feb 3, 2025"
