Title,Price,Link,Image Link,Sold Date
Pick Your Cards UEFA UCL Champions League Topps The Living Set Singles #361+,"128,667.15 VND to 3,866,460.75 VND",https://www.ebay.com/itm/365346974329,https://i.ebayimg.com/images/g/odIAAOSw13NniSG3/s-l140.jpg,"Sold  Feb 16, 2025"
Panini FIFA 365 - 2019 - Single Sticker 240-468 to choose from to choose,"28,250.05 VND to 513,868.34 VND",https://www.ebay.com/itm/303707582057,https://i.ebayimg.com/images/g/Q14AAOSwyR5fcZJE/s-l140.jpg,"Sold  Mar 13, 2025"
B0661- 2015-16 Panini FIFA 365 Stickers #s 1-445 -You Pick- 15+ FREE US SHIP,"46,155.15 VND to 695,937.15 VND",https://www.ebay.com/itm/334438784027,https://i.ebayimg.com/images/g/P5oAAOSwo9pifQFc/s-l140.jpg,"Sold  Mar 30, 2025"
Pick Your Cards UEFA UCL Champions League Topps The Living Set Singles #361+,"128,667.15 VND to 3,866,460.75 VND",https://www.ebay.com/itm/365346974329,https://i.ebayimg.com/images/g/odIAAOSw13NniSG3/s-l140.jpg,"Sold  Feb 16, 2025"
Panini FIFA 365 - 2019 - Single Sticker 240-468 to choose from to choose,"28,250.05 VND to 513,868.34 VND",https://www.ebay.com/itm/303707582057,https://i.ebayimg.com/images/g/Q14AAOSwyR5fcZJE/s-l140.jpg,"Sold  Mar 13, 2025"
B0661- 2015-16 Panini FIFA 365 Stickers #s 1-445 -You Pick- 15+ FREE US SHIP,"46,155.15 VND to 695,937.15 VND",https://www.ebay.com/itm/334438784027,https://i.ebayimg.com/images/g/P5oAAOSwo9pifQFc/s-l140.jpg,"Sold  Mar 30, 2025"
Pick Your Cards UEFA UCL Champions League Topps The Living Set Singles #361+,"128,667.15 VND to 3,866,460.75 VND",https://www.ebay.com/itm/365346974329,https://i.ebayimg.com/images/g/odIAAOSw13NniSG3/s-l140.jpg,"Sold  Feb 16, 2025"
Panini FIFA 365 - 2019 - Single Sticker 240-468 to choose from to choose,"28,250.05 VND to 513,868.34 VND",https://www.ebay.com/itm/303707582057,https://i.ebayimg.com/images/g/Q14AAOSwyR5fcZJE/s-l140.jpg,"Sold  Mar 13, 2025"
B0661- 2015-16 Panini FIFA 365 Stickers #s 1-445 -You Pick- 15+ FREE US SHIP,"46,155.15 VND to 695,937.15 VND",https://www.ebay.com/itm/334438784027,https://i.ebayimg.com/images/g/P5oAAOSwo9pifQFc/s-l140.jpg,"Sold  Mar 30, 2025"
Pick Your Cards UEFA UCL Champions League Topps The Living Set Singles #361+,"128,667.15 VND to 3,866,460.75 VND",https://www.ebay.com/itm/365346974329,https://i.ebayimg.com/images/g/odIAAOSw13NniSG3/s-l140.jpg,"Sold  Feb 16, 2025"
Panini FIFA 365 - 2019 - Single Sticker 240-468 to choose from to choose,"28,250.05 VND to 513,868.34 VND",https://www.ebay.com/itm/303707582057,https://i.ebayimg.com/images/g/Q14AAOSwyR5fcZJE/s-l140.jpg,"Sold  Mar 13, 2025"
B0661- 2015-16 Panini FIFA 365 Stickers #s 1-445 -You Pick- 15+ FREE US SHIP,"46,155.15 VND to 695,937.15 VND",https://www.ebay.com/itm/334438784027,https://i.ebayimg.com/images/g/P5oAAOSwo9pifQFc/s-l140.jpg,"Sold  Mar 30, 2025"
Pick Your Cards UEFA UCL Champions League Topps The Living Set Singles #361+,"128,667.15 VND to 3,866,460.75 VND",https://www.ebay.com/itm/365346974329,https://i.ebayimg.com/images/g/odIAAOSw13NniSG3/s-l140.jpg,"Sold  Feb 16, 2025"
Panini FIFA 365 - 2019 - Single Sticker 240-468 to choose from to choose,"28,250.05 VND to 513,868.34 VND",https://www.ebay.com/itm/303707582057,https://i.ebayimg.com/images/g/Q14AAOSwyR5fcZJE/s-l140.jpg,"Sold  Mar 13, 2025"
B0661- 2015-16 Panini FIFA 365 Stickers #s 1-445 -You Pick- 15+ FREE US SHIP,"46,155.15 VND to 695,937.15 VND",https://www.ebay.com/itm/334438784027,https://i.ebayimg.com/images/g/P5oAAOSwo9pifQFc/s-l140.jpg,"Sold  Mar 30, 2025"
Pick Your Cards UEFA UCL Champions League Topps The Living Set Singles #361+,"128,667.15 VND to 3,866,460.75 VND",https://www.ebay.com/itm/365346974329,https://i.ebayimg.com/images/g/odIAAOSw13NniSG3/s-l140.jpg,"Sold  Feb 16, 2025"
Panini FIFA 365 - 2019 - Single Sticker 240-468 to choose from to choose,"28,250.05 VND to 513,868.34 VND",https://www.ebay.com/itm/303707582057,https://i.ebayimg.com/images/g/Q14AAOSwyR5fcZJE/s-l140.jpg,"Sold  Mar 13, 2025"
B0661- 2015-16 Panini FIFA 365 Stickers #s 1-445 -You Pick- 15+ FREE US SHIP,"46,155.15 VND to 695,937.15 VND",https://www.ebay.com/itm/334438784027,https://i.ebayimg.com/images/g/P5oAAOSwo9pifQFc/s-l140.jpg,"Sold  Mar 30, 2025"
Pick Your Cards UEFA UCL Champions League Topps The Living Set Singles #361+,"128,667.15 VND to 3,866,460.75 VND",https://www.ebay.com/itm/365346974329,https://i.ebayimg.com/images/g/odIAAOSw13NniSG3/s-l140.jpg,"Sold  Feb 16, 2025"
Panini FIFA 365 - 2019 - Single Sticker 240-468 to choose from to choose,"28,250.05 VND to 513,868.34 VND",https://www.ebay.com/itm/303707582057,https://i.ebayimg.com/images/g/Q14AAOSwyR5fcZJE/s-l140.jpg,"Sold  Mar 13, 2025"
